Latitude,Longitude,Zones,Lab,Ag,B,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,V,Zn,As,Sb,Se,Hg,Fe,Al,pH H2O,pH KCl,PM,K+,Ca2+,Mg2+,Al3+,H+Al,SB,ECEC,CEC,V (%),m (%),SOM,PREM,Coarse sand,Fine sand,Silt,Clay
-21.03703,-44.09894,SF,UFV1,0,13.46,38.71,3.16,2.22,123.87,85.94,179.33,0.455179433909691,7.4,16.93,4.66,171.61,34.35,2.75,0.52,0.25,0.0342896437742502,81295.01,155597.06,5.7,4.4,0.4,45,0.4,0.1,0.1,5.1,0.6,0.7,5.7,10.1,14.9,4.1,10.2,4,4,31,61
-21.66072,-45.98344,MA,UFV1,0,6.68,32.72,1.63,1.68,49.39,38.81,129.1,0.455179433909691,5.51,12.46,7.55,67.25,22.06,2.44,0.13,0.44,0.08,36640.69,67673.13,4.6,4.3,1,67,0.4,0.3,0.2,5.1,0.9,1.1,6,14.4,18.1,2.4,25.7,21,12,9,58
-21.05694,-44.73386,SF,UFV1,0,17.23,94.53,4.46,20.55,40.57,142.8,1072.6,0.455179433909691,25.78,23.78,19.03,243.83,59.23,10.95,0.07,0.4,0.1,93816.47,72299.47,6,5.1,2.7,163,5.2,2.2,0,8.6,27.9,27.9,36.5,76.4,0,8.1,29.2,10,14,22,54
-21.04722,-44.09328,SF,UFV1,0,14.65,16.95,3.38,1.37,126.5,75.67,117.67,0.455179433909691,5.8,16.06,14.59,206.81,32.72,17.7,0.81,0.43,0.14,75164.06,151004.62,5.4,5.3,1,34,4.4,0.3,0,5.4,4.8,4.8,10.2,47.3,0,5.6,9.7,7,3,25,65
-22.21136,-45.86789,MA,UFV1,0,3.67,108.07,0.92,7.86,23.97,23.33,260.45,0.455179433909691,8.93,9.8,9.57,27.76,46.26,0.95,0.01733316,0.0466662,0.0342896437742502,17468.44,20014.24,5.7,4.2,42.8,73,1.1,0.4,0.2,4.3,1.7,1.9,6,28.1,10.2,2.1,36.8,29,49,16,6
-20.35361,-45.63717,SF,UFV1,0,23.91,110.43,2.08,16.67,39.28,57.36,1314.19,0.455179433909691,25.41,57.99,87.56,52.94,234.21,22.51,0.49,0.4,0.14,33317.52,35275.43,7.1,7.1,23.8,113,21.9,2.4,0,1.7,24.7,24.7,26.4,93.6,0,33.3,39.1,14,7,44,35
-20.4318,-45.9066,SF,UFV_2,0.155,10.400609210945932,17.248767590827438,4.8582268495613095,3.021916032462047,63.755675808911924,13.93725448980228,70.90869158068529,2.36,17.703327675382738,11.147707383181148,0.18,163.335202475777,24.646831796205216,3.7203300497356895,0.125,0.439078533455816,0.045,29417.636186283158,74905.76611852205,5.84,4.47,1.3,54,0.85,0.38,0.29,4.8,1.37,1.66,6.17,22.2,17.5,3.2,26.5,40,7,9,44
-21.02894,-44.33972,SF,UFV1,0,3.97,21.18,0.178803683470566,1.56,18.48,11.86,77.91,0.455179433909691,7.89,25.62,6.62,10.06,17.5,1.2,0.09,0.28,0.0342896437742502,10264.92,74141.65,5.8,3.9,2.7,50,1.2,0.3,0.6,7.5,1.6,2.2,9.1,17.9,26.1,4,33.5,41,17,9,33
-19.26206,-44.40678,SF,UFV1,0,8.35,178.6,1.38,3.83,14.02,47.96,450.48,0.500341,5.27,36.48,18.05,23.08,30.71,3.55,0.07,0.4,0.15,23966.26,27516.9,5.8,5.1,4.9,174,5.7,1.2,0,5.4,7.3,7.3,12.7,57.5,0,6.1,43.3,34,19,18,29
-19.55744,-43.85664,SF,UFV1,0,13.83,112.42,2.66,3.18,68.77,71.11,105.89,0.455179433909691,17.9,15.92,2.55,91.59,37.22,6.67,0.8,0.32,0.0342896437742502,62396.14,66003.92,4.9,3.9,1.6,100,0.2,0.2,2.1,8.4,0.7,2.8,9.1,7.5,75.7,4.7,15.2,9,4,22,65
-19.47244,-43.77914,SF,UFV1,0,6.62,72.98999999999998,1.74,1.73,52.4,43.56,60.29,0.455179433909691,10.13,15.02,4.21,64.29,22.35,5.11,0.61,0.21,0.0342896437742502,39689.28,56212.66,4.8,3.8,1.4,51,1.2,0,2,8,1.4,3.4,9.4,14.7,59.4,6.2,18.8,3,5,41,51
-19.46064,-44.73144,SF,UFV1,0,10.6,81.45999999999998,1.5,9.34,33.23,42.3,454.79,0.455179433909691,20.4,16.61,10.2,35.53,50.65,7.08,0.82,0.0466662,0.0342896437742502,29279.94,44408.41,5.7,4.6,2.2,176,5.1,1.9,0,5.2,7.4,7.4,12.6,58.8,0,3.8,39.5,6,1,66,27
-19.46064,-44.73144,SF,UFV1,0,12.52,77.41,2.17,31.64,39.55,52.57,1062.66,0.455179433909691,18.51,38.04,9.13,46.76,45.45,8.87,0.76,0.0466662,0.0342896437742502,42005.93,34294.46,5.9,4.5,1.4,73,5.9,1.8,0,3.8,7.8,7.8,11.6,67.2,0,2.1,33.5,11,2,60,27
-19.16494,-46.14228,SF,UFV1,0,5.12,57.4,0.51,1.78,10.29,10.73,56.96,0.455179433909691,3.34,13.84,8.4,16.45,15.67,2.86,0.79,0.0466662,0.0342896437742502,9331.62,19411.88,5.1,3.8,1.3,65,0.5,0.1,2,4.9,0.7,2.7,5.6,12,75.1,1.9,30.1,31,27,20,22
-19.46475,-44.2495,SF,UFV1,0,10.25,102.83,1.56,5.51,44.87,43.38,413.01,0.455179433909691,12.66,18.77,7.56,56.35,37.65,5.96,1.61,0.21,0.08,38517.35,35723.04,4.7,3.7,3.9,92,0.7,0.4,3.4,12.4,1.4,4.8,13.8,10.2,70.5,6.5,17.7,1,1,46,52
-19.45192,-44.27119,SF,UFV1,0,13.81,65.14,3.08,5.08,97.34,81.44,142.88,0.455179433909691,24.43,22,4.94,158.75,34.17,9.51,0.9,0.28,0.0342896437742502,35712.2,34702.88,4.8,4,0.6,20,0,0,2.3,7,0.1,2.4,7.1,0.8,97.5,2.6,6.2,1,1,15,83
-19.25986,-44.40606,SF,UFV1,0,11.58,50.95,2.44,5.1,84.06,71.73,205.46,0.455179433909691,21.63,16.18,11.32,123.29,43.4,6.36,0.94,0.47,0.12,65387.79,50969.36,5.5,4.5,1.9,260,0.5,1.1,0.1,6.4,2.2,2.3,8.6,25.3,4.4,4.3,26.3,1,2,28,69
-19.271,-44.48378,SF,UFV1,0,13.54,46.64,3.5,2.21,87.96,97.37,143.1,0.455179433909691,10.39,12.96,4.22,257.26,38.1,9.33,0.82,0.28,0.0342896437742502,76925.67,83399.81,4.5,4,0.9,28,0.1,0,1.3,6.8,0.1,1.4,6.9,2,89.9,3.4,13.6,9,7,7,77
-19.52225,-44.52278,SF,UFV1,0,10.17,34.44,2.75,1.79,78.56,61.43,119.84,0.455179433909691,9.32,12.51,5.75,113.96,19.98,6.53,0.28,0.33,0.0342896437742502,60362.53,72491.92,4.8,4,1,59,0,0,1.2,7,0.2,1.4,7.2,2.8,85.3,3.9,16.8,1,2,34,63
